Deck,Page,Vision earned its cost (1 to 5),Notes,source_file,source_type,pages_in_deck,text_layer_words,text_layer_chars,text_blocks,placed_images,image_area_ratio,drawing_ops,ink_ratio,pptx_picture_shapes,pptx_chart_shapes,pptx_table_shapes,pptx_group_shapes,pptx_text_shapes,pptx_picture_area_ratio,pptx_native_words,vision_seconds,vision_words,vision_chars,novel_content_words,text_layer_content_words,novel_ratio,vision_model,finish_reason,vision_output_file,error
01_AI_L8_control,1,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,24,144,2,1,0.5641,5,0.5652,1,0,0,0,2,0.5642,21,8.29,56,311,14,12,0.5385,qwen2.5vl:7b,stop,outputs/c3_routing\vision\01_AI_L8_control_p001.txt,
01_AI_L8_control,2,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,8,80,2,0,0.0,3,0.026,0,0,0,0,2,0.0,7,6.82,9,55,2,9,0.4,qwen2.5vl:7b,stop,outputs/c3_routing\vision\01_AI_L8_control_p002.txt,
01_AI_L8_control,3,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,26,223,4,0,0.0,5,0.0609,0,0,0,0,2,0.0,20,8.32,28,242,3,17,0.1579,qwen2.5vl:7b,stop,outputs/c3_routing\vision\01_AI_L8_control_p003.txt,
01_AI_L8_control,4,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,105,691,3,0,0.0,5,0.0867,0,0,0,0,2,0.0,99,9.05,108,708,2,54,0.0357,qwen2.5vl:7b,stop,outputs/c3_routing\vision\01_AI_L8_control_p004.txt,
01_AI_L8_control,5,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,130,883,2,0,0.0,5,0.1101,0,0,0,0,2,0.0,125,3.06,133,897,2,66,0.0294,qwen2.5vl:7b,stop,outputs/c3_routing\vision\01_AI_L8_control_p005.txt,
01_AI_L8_control,6,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,76,470,3,0,0.0,5,0.0668,0,0,0,0,2,0.0,71,8.88,79,487,2,38,0.05,qwen2.5vl:7b,stop,outputs/c3_routing\vision\01_AI_L8_control_p006.txt,
01_AI_L8_control,7,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,118,734,4,0,0.0,4,0.0949,0,0,0,0,3,0.0,111,9.17,121,743,2,62,0.0312,qwen2.5vl:7b,stop,outputs/c3_routing\vision\01_AI_L8_control_p007.txt,
01_AI_L8_control,8,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,100,663,7,0,0.0,3,0.0639,0,0,0,0,4,0.0,96,8.04,86,543,2,57,0.0408,qwen2.5vl:7b,stop,outputs/c3_routing\vision\01_AI_L8_control_p008.txt,
01_AI_L8_control,9,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,166,1001,3,1,0.2749,5,0.2746,1,0,0,0,2,0.2092,153,9.83,206,1215,19,79,0.1939,qwen2.5vl:7b,stop,outputs/c3_routing\vision\01_AI_L8_control_p009.txt,
01_AI_L8_control,10,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,61,406,6,1,0.2071,2,0.1386,1,0,0,0,2,0.2071,52,10.23,203,1324,56,30,0.6512,qwen2.5vl:7b,stop,outputs/c3_routing\vision\01_AI_L8_control_p010.txt,
01_AI_L8_control,11,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,78,601,3,1,0.3819,3,0.431,1,0,0,0,3,0.382,74,9.36,136,901,25,47,0.3472,qwen2.5vl:7b,stop,outputs/c3_routing\vision\01_AI_L8_control_p011.txt,
01_AI_L8_control,12,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,62,487,3,1,0.3819,3,0.4188,1,0,0,0,3,0.382,58,8.66,118,693,25,45,0.4237,qwen2.5vl:7b,stop,outputs/c3_routing\vision\01_AI_L8_control_p012.txt,
01_AI_L8_control,13,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,0,0,0,1,0.4728,2,0.2953,0,0,0,0,0,0.0,0,7.31,366,2281,117,0,1.0,qwen2.5vl:7b,stop,outputs/c3_routing\vision\01_AI_L8_control_p013.txt,
01_AI_L8_control,14,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,17,143,3,2,0.2749,3,0.1189,2,0,0,0,2,0.2749,15,9.19,145,975,67,15,0.8171,qwen2.5vl:7b,stop,outputs/c3_routing\vision\01_AI_L8_control_p014.txt,
01_AI_L8_control,15,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,18,153,3,1,0.0555,3,0.0558,1,0,0,0,2,0.0556,16,7.88,72,451,18,15,0.5455,qwen2.5vl:7b,stop,outputs/c3_routing\vision\01_AI_L8_control_p015.txt,
