Deck,Page,Vision earned its cost (1 to 5),Notes,source_file,source_type,pages_in_deck,text_layer_words,text_layer_chars,text_blocks,placed_images,image_area_ratio,drawing_ops,ink_ratio,pptx_picture_shapes,pptx_chart_shapes,pptx_table_shapes,pptx_group_shapes,pptx_text_shapes,pptx_picture_area_ratio,pptx_native_words,vision_seconds,vision_words,vision_chars,novel_content_words,text_layer_content_words,novel_ratio,vision_model,vision_output_file,error
01_AI_L8_control,1,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,24,144,2,1,0.5641,5,0.5652,1,0,0,0,2,0.5642,21,13.00,93,523,38,12,0.76,qwen3-vl:4b,outputs/c3_routing\vision\01_AI_L8_control_p001.txt,
01_AI_L8_control,2,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,8,80,2,0,0.0,3,0.026,0,0,0,0,2,0.0,7,3.71,19,148,4,9,0.3077,qwen3-vl:4b,outputs/c3_routing\vision\01_AI_L8_control_p002.txt,
01_AI_L8_control,3,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,26,223,4,0,0.0,5,0.0609,0,0,0,0,2,0.0,20,13.76,38,299,4,17,0.1905,qwen3-vl:4b,outputs/c3_routing\vision\01_AI_L8_control_p003.txt,
01_AI_L8_control,4,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,105,691,3,0,0.0,5,0.0867,0,0,0,0,2,0.0,99,12.06,116,765,4,54,0.069,qwen3-vl:4b,outputs/c3_routing\vision\01_AI_L8_control_p004.txt,
01_AI_L8_control,5,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,130,883,2,0,0.0,5,0.1101,0,0,0,0,2,0.0,125,19.13,0,0,0,66,,qwen3-vl:4b,outputs/c3_routing\vision\01_AI_L8_control_p005.txt,
01_AI_L8_control,6,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,76,470,3,0,0.0,5,0.0668,0,0,0,0,2,0.0,71,19.13,82,517,4,38,0.0976,qwen3-vl:4b,outputs/c3_routing\vision\01_AI_L8_control_p006.txt,
01_AI_L8_control,7,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,118,734,4,0,0.0,4,0.0949,0,0,0,0,3,0.0,111,12.31,129,815,6,62,0.0909,qwen3-vl:4b,outputs/c3_routing\vision\01_AI_L8_control_p007.txt,
01_AI_L8_control,8,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,100,663,7,0,0.0,3,0.0639,0,0,0,0,4,0.0,96,8.29,104,697,5,57,0.0806,qwen3-vl:4b,outputs/c3_routing\vision\01_AI_L8_control_p008.txt,
01_AI_L8_control,9,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,166,1001,3,1,0.2749,5,0.2746,1,0,0,0,2,0.2092,153,19.17,0,0,0,79,,qwen3-vl:4b,outputs/c3_routing\vision\01_AI_L8_control_p009.txt,
01_AI_L8_control,10,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,61,406,6,1,0.2071,2,0.1386,1,0,0,0,2,0.2071,52,14.57,161,1099,47,30,0.6104,qwen3-vl:4b,outputs/c3_routing\vision\01_AI_L8_control_p010.txt,
01_AI_L8_control,11,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,78,601,3,1,0.3819,3,0.431,1,0,0,0,3,0.382,74,9.50,149,994,30,47,0.3896,qwen3-vl:4b,outputs/c3_routing\vision\01_AI_L8_control_p011.txt,
01_AI_L8_control,12,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,62,487,3,1,0.3819,3,0.4188,1,0,0,0,3,0.382,58,12.33,127,856,30,45,0.4,qwen3-vl:4b,outputs/c3_routing\vision\01_AI_L8_control_p012.txt,
01_AI_L8_control,13,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,0,0,0,1,0.4728,2,0.2953,0,0,0,0,0,0.0,0,19.21,0,0,0,0,,qwen3-vl:4b,outputs/c3_routing\vision\01_AI_L8_control_p013.txt,
01_AI_L8_control,14,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,17,143,3,2,0.2749,3,0.1189,2,0,0,0,2,0.2749,15,19.19,0,0,0,15,,qwen3-vl:4b,outputs/c3_routing\vision\01_AI_L8_control_p014.txt,
01_AI_L8_control,15,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,18,153,3,1,0.0555,3,0.0558,1,0,0,0,2,0.0556,16,10.57,74,508,24,15,0.6154,qwen3-vl:4b,outputs/c3_routing\vision\01_AI_L8_control_p015.txt,
01_AI_L8_control,16,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,44,365,2,1,0.1123,5,0.1093,1,0,0,0,2,0.1123,38,10.37,125,946,43,33,0.5658,qwen3-vl:4b,outputs/c3_routing\vision\01_AI_L8_control_p016.txt,
01_AI_L8_control,17,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,63,445,3,1,0.3819,3,0.413,1,0,0,0,3,0.382,59,10.44,106,700,23,34,0.4035,qwen3-vl:4b,outputs/c3_routing\vision\01_AI_L8_control_p017.txt,
01_AI_L8_control,18,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,99,669,3,1,0.3819,3,0.44,1,0,0,0,3,0.382,90,16.69,154,1026,30,51,0.3704,qwen3-vl:4b,outputs/c3_routing\vision\01_AI_L8_control_p018.txt,
01_AI_L8_control,19,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,8,76,2,0,0.0,3,0.0191,0,0,0,0,2,0.0,6,4.90,19,140,4,7,0.3636,qwen3-vl:4b,outputs/c3_routing\vision\01_AI_L8_control_p019.txt,
01_AI_L8_control,20,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,94,694,3,0,0.0,3,0.0784,0,0,0,0,3,0.0,88,18.52,104,754,4,51,0.0727,qwen3-vl:4b,outputs/c3_routing\vision\01_AI_L8_control_p020.txt,
01_AI_L8_control,21,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,65,426,2,2,0.3958,3,0.394,2,0,0,0,2,0.4522,58,15.58,208,1511,68,37,0.6476,qwen3-vl:4b,outputs/c3_routing\vision\01_AI_L8_control_p021.txt,
01_AI_L8_control,22,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,99,901,4,2,0.2666,9,0.2883,0,0,0,1,2,0.0,83,19.32,0,0,0,78,,qwen3-vl:4b,outputs/c3_routing\vision\01_AI_L8_control_p022.txt,
01_AI_L8_control,23,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,22,387,3,1,0.124,8,0.1357,1,0,0,0,2,0.124,15,19.14,0,0,0,38,,qwen3-vl:4b,outputs/c3_routing\vision\01_AI_L8_control_p023.txt,
01_AI_L8_control,24,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,84,518,11,0,0.0,14,0.1072,0,0,0,3,3,0.0,67,19.19,0,0,0,39,,qwen3-vl:4b,outputs/c3_routing\vision\01_AI_L8_control_p024.txt,
01_AI_L8_control,25,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,57,365,2,0,0.0,2,0.045,0,0,0,0,2,0.0,48,6.28,68,458,4,31,0.1143,qwen3-vl:4b,outputs/c3_routing\vision\01_AI_L8_control_p025.txt,
01_AI_L8_control,26,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,35,196,2,0,0.0,2,0.0264,0,0,0,0,2,0.0,30,5.80,46,278,4,17,0.1905,qwen3-vl:4b,outputs/c3_routing\vision\01_AI_L8_control_p026.txt,
