Deck,Page,Vision earned its cost (1 to 5),Notes,source_file,source_type,pages_in_deck,text_layer_words,text_layer_chars,text_blocks,placed_images,image_area_ratio,drawing_ops,ink_ratio,pptx_picture_shapes,pptx_chart_shapes,pptx_table_shapes,pptx_group_shapes,pptx_text_shapes,pptx_picture_area_ratio,pptx_native_words,vision_seconds,vision_words,vision_chars,novel_content_words,text_layer_content_words,novel_ratio,vision_model,vision_output_file,error
01_AI_L8_control,1,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,24,144,2,1,0.5641,5,0.5652,1,0,0,0,2,0.5642,21,,,,,,,,,
01_AI_L8_control,2,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,8,80,2,0,0.0,3,0.026,0,0,0,0,2,0.0,7,,,,,,,,,
01_AI_L8_control,3,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,26,223,4,0,0.0,5,0.0609,0,0,0,0,2,0.0,20,,,,,,,,,
01_AI_L8_control,4,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,105,691,3,0,0.0,5,0.0867,0,0,0,0,2,0.0,99,,,,,,,,,
01_AI_L8_control,5,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,130,883,2,0,0.0,5,0.1101,0,0,0,0,2,0.0,125,,,,,,,,,
01_AI_L8_control,6,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,76,470,3,0,0.0,5,0.0668,0,0,0,0,2,0.0,71,,,,,,,,,
01_AI_L8_control,7,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,118,734,4,0,0.0,4,0.0949,0,0,0,0,3,0.0,111,,,,,,,,,
01_AI_L8_control,8,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,100,663,7,0,0.0,3,0.0639,0,0,0,0,4,0.0,96,,,,,,,,,
01_AI_L8_control,9,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,166,1001,3,1,0.2749,5,0.2746,1,0,0,0,2,0.2092,153,,,,,,,,,
01_AI_L8_control,10,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,61,406,6,1,0.2071,2,0.1386,1,0,0,0,2,0.2071,52,,,,,,,,,
01_AI_L8_control,11,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,78,601,3,1,0.3819,3,0.431,1,0,0,0,3,0.382,74,,,,,,,,,
01_AI_L8_control,12,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,62,487,3,1,0.3819,3,0.4188,1,0,0,0,3,0.382,58,,,,,,,,,
01_AI_L8_control,13,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,0,0,0,1,0.4728,2,0.2953,0,0,0,0,0,0.0,0,,,,,,,,,
01_AI_L8_control,14,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,17,143,3,2,0.2749,3,0.1189,2,0,0,0,2,0.2749,15,,,,,,,,,
01_AI_L8_control,15,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,18,153,3,1,0.0555,3,0.0558,1,0,0,0,2,0.0556,16,,,,,,,,,
01_AI_L8_control,16,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,44,365,2,1,0.1123,5,0.1093,1,0,0,0,2,0.1123,38,,,,,,,,,
01_AI_L8_control,17,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,63,445,3,1,0.3819,3,0.413,1,0,0,0,3,0.382,59,,,,,,,,,
01_AI_L8_control,18,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,99,669,3,1,0.3819,3,0.44,1,0,0,0,3,0.382,90,,,,,,,,,
01_AI_L8_control,19,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,8,76,2,0,0.0,3,0.0191,0,0,0,0,2,0.0,6,,,,,,,,,
01_AI_L8_control,20,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,94,694,3,0,0.0,3,0.0784,0,0,0,0,3,0.0,88,,,,,,,,,
01_AI_L8_control,21,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,65,426,2,2,0.3958,3,0.394,2,0,0,0,2,0.4522,58,,,,,,,,,
01_AI_L8_control,22,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,99,901,4,2,0.2666,9,0.2883,0,0,0,1,2,0.0,83,,,,,,,,,
01_AI_L8_control,23,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,22,387,3,1,0.124,8,0.1357,1,0,0,0,2,0.124,15,,,,,,,,,
01_AI_L8_control,24,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,84,518,11,0,0.0,14,0.1072,0,0,0,3,3,0.0,67,,,,,,,,,
01_AI_L8_control,25,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,57,365,2,0,0.0,2,0.045,0,0,0,0,2,0.0,48,,,,,,,,,
01_AI_L8_control,26,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,35,196,2,0,0.0,2,0.0264,0,0,0,0,2,0.0,30,,,,,,,,,
01_AI_L8_control,27,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,64,373,4,2,0.4212,2,0.1302,2,0,0,0,2,0.4074,56,,,,,,,,,
01_AI_L8_control,28,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,109,771,9,0,0.0,15,0.1353,0,0,0,3,3,0.0,94,,,,,,,,,
01_AI_L8_control,29,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,34,215,3,1,0.1406,2,0.0628,1,0,0,0,3,0.1406,33,,,,,,,,,
01_AI_L8_control,30,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,34,208,2,1,0.494,2,0.3777,1,0,0,0,2,0.3413,30,,,,,,,,,
01_AI_L8_control,31,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,62,361,3,1,0.0565,2,0.1217,1,0,0,0,2,0.0566,55,,,,,,,,,
01_AI_L8_control,32,,,CM3020 Artificial Intelligence_lecture 8-2.pptx,pptx,32,67,532,4,0,0.0,5,0.0815,0,0,0,0,3,0.0,57,,,,,,,,,
02_AI_L6_mixed,1,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,37,219,7,0,0.0,5,0.9934,0,0,0,0,3,0.0,34,,,,,,,,,
02_AI_L6_mixed,2,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,43,397,3,0,0.0,7,0.0873,0,0,0,0,2,0.0,35,,,,,,,,,
02_AI_L6_mixed,3,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,46,280,2,0,0.0,2,0.055,0,0,0,0,2,0.0,40,,,,,,,,,
02_AI_L6_mixed,4,,,CM3020 Artificial Intelligence_lecture 6.pptx,pptx,34,59,405,3,1,0.1707,4,0.0797,1,0,0,0,3,0.1707,54,,,,,,,,,
